game,total_playtime
"Dota 2",981684.6
"Counter-Strike Global Offensive",322771.6
"Team Fortress 2",173673.3
Counter-Strike,134261.1
"Sid Meier's Civilization V",99821.3
"Counter-Strike Source",96075.5
"The Elder Scrolls V Skyrim",70889.3
"Garry's Mod",49725.3
"Call of Duty Modern Warfare 2 - Multiplayer",42009.9
"Left 4 Dead 2",33596.7
