user_id,games_purchased,games_played,total_playtime,avg_playtime_per_game
9563573,50,24,391.5,16.3125
9740704,11,3,27.1,9.03333333333333
9759887,8,1,0.3,0.3
9811609,8,0,0,0
9823354,187,129,2738.9,21.2317829457364
9845449,26,11,62.7,5.7
9946133,26,17,1935.9,113.876470588235
10064100,4,2,1.9,0.95
10095386,4,1,34.0,34.0
10144413,7,0,0,0
10144504,8,3,5.7,1.9
10162301,38,23,407.9,17.7347826086956
10181060,11,8,44.6,5.575
10216256,12,1,2.7,2.7
10218563,82,40,2022.1,50.5525
10253354,228,132,2610.4,19.7757575757576
10262121,6,0,0,0
10267553,4,0,0,0
10302000,42,24,4849.5,202.0625
10385370,17,7,169.4,24.2
10450544,118,74,1511.5,20.4256756756757
10478285,5,3,201.0,67.0
10515535,4,1,0.1,0.1
10595342,4,4,49.3,12.325
10599862,257,178,11651.7,65.4589887640449
10608804,13,2,3.0,1.5
10714039,4,1,17.5,17.5
10809782,4,1,0.8,0.8
10810391,6,0,0,0
10854426,6,1,0.7,0.7
10856494,7,5,2622.7,524.54
10868970,4,1,2.9,2.9
10869571,13,2,23.4,11.7
10934310,4,4,4.2,1.05
10964000,4,1,29.0,29.0
11024186,15,11,537.5,48.8636363636364
11080937,4,0,0,0
11149819,287,114,2816.7,24.7078947368421
11151885,12,1,1.8,1.8
11161178,169,83,2898.4,34.9204819277108
11200326,4,0,0,0
11207650,52,31,623.7,20.1193548387097
11300897,26,15,191.0,12.7333333333333
11373749,455,204,3943.2,19.3294117647059
11403772,588,314,6009.9,19.1398089171975
11408688,4,0,0,0
11414203,4,3,1.0,0.333333333333333
11504910,4,0,0,0
11613587,7,0,0,0
11650340,4,0,0,0
11713535,8,1,23.0,23.0
11718802,7,1,87.0,87.0
11731710,105,57,3980.0,69.8245614035088
11794760,209,98,1756.2,17.9204081632653
11807754,22,17,1278.8,75.2235294117647
11813637,57,37,2799.1,75.6513513513514
11940338,100,64,807.9,12.6234375
11952990,80,47,1425.7,30.3340425531915
11970504,84,56,920.2,16.4321428571429
11973378,4,1,0.8,0.8
11978743,196,46,616.5,13.4021739130435
12034137,4,0,0,0
12070928,7,1,34.0,34.0
12130111,39,23,803.3,34.9260869565217
12144171,101,66,1452.5,22.0075757575758
12169570,4,1,108.0,108.0
12195913,21,13,2834.2,218.015384615385
12259303,27,22,217.1,9.86818181818182
12312878,4,1,0.4,0.4
12423315,7,4,22.7,5.675
12529679,12,6,53.6,8.93333333333333
12563913,8,1,0.2,0.2
12583476,4,1,0.3,0.3
12610800,288,165,2609.1,15.8127272727273
12660489,13,5,6074.1,1214.82
12673872,12,1,0.4,0.4
12760368,47,26,1180.9,45.4192307692308
12774878,21,3,320.2,106.733333333333
12858799,4,1,0.5,0.5
12860805,17,14,1499.6,107.114285714286
12897088,4,1,0.4,0.4
12985315,9,9,240.1,26.6777777777778
13190476,159,109,3049.8,27.9798165137615
13227098,9,1,0.6,0.6
13227113,3,2,20.5,10.25
13336286,4,2,18.7,9.35
13542867,3,1,1.5,1.5
13556140,18,4,209.0,52.25
13565651,183,102,1428.0,14.0
13614852,4,1,1.1,1.1
13646256,12,8,39.6,4.95
13669241,4,0,0,0
13802025,8,2,13.8,6.9
13863290,4,2,476.2,238.1
13873032,4,1,197.0,197.0
14095190,3,0,0,0
14098833,7,2,20.0,10.0
14126086,124,35,3202.7,91.5057142857143
14153959,6,5,36.7,7.34
14165501,9,2,9.3,4.65
14216099,15,5,1678.2,335.64
14256995,10,0,0,0
14258248,8,3,30.7,10.2333333333333
14416572,3,0,0,0
14417857,30,21,1543.1,73.4809523809524
14421986,8,0,0,0
14433556,4,0,0,0
14465359,301,126,4405.5,34.9642857142857
14477878,8,1,0.6,0.6
14507290,11,6,568.5,94.75
14544587,102,57,8137.1,142.756140350877
14551726,11,6,26.4,4.4
14671378,27,20,729.0,36.45
14702137,16,3,270.2,90.0666666666667
14706578,7,0,0,0
14711056,4,1,4.6,4.6
14717252,5,3,10.4,3.46666666666667
14758912,3,1,85.0,85.0
14906179,19,18,875.6,48.6444444444444
14962163,91,40,1547.9,38.6975
15084368,3,0,0,0
15095770,17,5,2.2,0.44
15196746,94,73,1916.2,26.2493150684931
15221799,42,24,2292.4,95.5166666666667
15305418,55,29,788.1,27.1758620689655
15382030,4,1,18.8,18.8
15415372,23,18,5331.7,296.205555555556
15432026,4,0,0,0
15474494,6,1,0.1,0.1
15495423,1,1,0.4,0.4
15503746,7,0,0,0
15546726,1,1,0.3,0.3
15564408,7,3,18.0,6.0
15576531,10,1,77.0,77.0
15680561,7,3,13.0,4.33333333333333
15701750,13,6,50.5,8.41666666666667
15702351,12,4,19.3,4.825
15824958,3,0,0,0
