game,total_purchasers
"Dota 2",4841
"Team Fortress 2",2323
Unturned,1563
"Counter-Strike Global Offensive",1412
"Half-Life 2 Lost Coast",981
"Counter-Strike Source",978
"Left 4 Dead 2",951
Counter-Strike,856
Warframe,847
"Half-Life 2 Deathmatch",823
